agent,timestep,mean,variance,std_dev,q1,q3,median,mad,diff_mean,diff_std
4,0,0.03234420173987746,0.004323484668963359,0.06575321033199337,0.004200680181384087,0.0382657079026103,0.02428698819130659,0.016187879256904125,0.0,0.0
4,1,0.026720904047740624,0.0018791462406849186,0.04334912041420124,0.006107023451477289,0.0336917950771749,0.018139935098588467,0.012931608594954014,-0.011246595384273679,0.07240984709570306
4,2,0.023228598063252868,0.001175098028842044,0.03427970286980393,0.006449759006500244,0.026889894933750234,0.015060402142504852,0.009867229498922825,-0.004853620261326432,0.05019209261990502
4,3,0.020425412386585958,0.0007775918485082485,0.02788533393216313,0.006340444786474109,0.02323774725664407,0.013867801986634731,0.008171924157068133,-0.0042281307376921175,0.042753001210702614
4,4,0.01840515333376825,0.0005625950803264931,0.023719086835847898,0.006267991382628679,0.0213065086863935,0.012906435877084732,0.007298030890524387,-0.0016917382340878248,0.03367279789505193
4,5,0.0138252141181007,0.00034198411401670063,0.018492812496121315,0.004426617920398713,0.016753895115107297,0.009683278761804104,0.0058812290430068975,-0.0008796114609576762,0.030330141906847834
4,6,0.011310302280597389,0.00022814497661400815,0.015104468763051819,0.003687717765569687,0.014003637060523034,0.008099591359496117,0.004852753132581711,-0.0009214584934525192,0.025409809356541253
4,7,0.009729615621808917,0.00018007393011344153,0.013419162794803614,0.00320814698934555,0.012456412892788649,0.006925667263567447,0.0042226951569318775,-0.0001824943677522242,0.02169587110417398
4,8,0.00893251271545887,0.00017640257117012463,0.013281662967043119,0.002927657589316368,0.01147705391049385,0.006087471172213555,0.0037186842411756522,-0.0003102119754999876,0.02036054921269331
4,9,0.008364404357038438,0.00017273061962368703,0.013142702143154848,0.0027279132977128025,0.010858186334371567,0.005629761144518852,0.003464988060295582,-0.0005467654944397509,0.020520129060715053
4,10,0.00797396853901446,0.00016980260453324701,0.013030832841121361,0.0025056175887584685,0.010389013588428498,0.005233683809638023,0.003241046145558356,8.751241024583579e-06,0.01807783918030591
4,11,0.007701379279457032,0.00017652399938814593,0.01328623345377259,0.0023389432579278948,0.009904555603861808,0.004855166748166084,0.003023869916796684,-0.00033222570111975076,0.020588328985988363
4,12,0.00748827453814447,0.00016226627032623684,0.012738377853017112,0.002195631340146065,0.009433856513351201,0.0045386902987957,0.002827706187963485,0.00011492822347208858,0.0250488578789194
4,13,0.007259608010984957,0.00016862494914300142,0.012985566955008219,0.002078759670257568,0.009143194137141108,0.004277028143405914,0.002689247764647007,-0.0003880209047347307,0.023606495989942224
4,14,0.007113247061707079,0.00016690755445470344,0.012919270662645916,0.0019883349537849425,0.008679869305342435,0.004045114666223527,0.002540609985589982,-0.00013523760503157973,0.02003208524709785
4,15,0.006912887982279062,0.00018018128414733933,0.013423162226068019,0.0019109413027763368,0.008379765413701534,0.0038167782127857207,0.002369273453950882,-0.0002612394097261131,0.01482803208664998
4,16,0.006800293565299362,0.00020366453482699995,0.014271108395180802,0.0018183209002017974,0.008231055364012719,0.003620852716267109,0.002255256101489067,0.00010659761112183332,0.014028616327182736
4,17,0.006663726131767035,0.00023398837009302708,0.015296678400653754,0.0017502516508102416,0.008061337191611529,0.003528735786676407,0.0022040095180273053,-4.936859291046858e-06,0.016847005021386044
4,18,0.006598361370433122,0.00025280557988846867,0.015899861002174474,0.0016884326934814454,0.007854025904089212,0.0033969029784202574,0.0021417871117591853,-3.200754374265671e-05,0.020979249100965606
4,19,0.006598723192270845,0.00029697185520111596,0.01723287135683186,0.001674051582813263,0.007595199719071389,0.0033583298325538637,0.0021039918065071106,0.0001933953108265996,0.02151984213528756
4,20,0.006585029890127481,0.00030658827394812314,0.017509662302515234,0.0016362518072128296,0.0076147521845996375,0.0032872125506401063,0.002087406814098358,-0.0003315150296315551,0.017581076044897486
4,21,0.0065247920803539455,0.00029962580028996004,0.017309702489932056,0.0015940569341182707,0.0074912128038704395,0.0032510310411453247,0.002044767141342163,-0.00012612492702901364,0.016249385206483502
4,22,0.006476324185039848,0.0002904465938847531,0.017042493769538338,0.0015950128436088562,0.0074743893928825855,0.0031977657228708265,0.0020011503249406813,5.39127130061388e-05,0.015083848270653453
4,23,0.0064404322258196775,0.0002824693735289619,0.016806825206711763,0.0015890147536993028,0.007408437132835388,0.003218149393796921,0.0020187996327877046,3.087213672697544e-05,0.013498696836889448
4,24,0.006349391634725035,0.0002440887121570639,0.015623338700708754,0.001588607579469681,0.007431391626596451,0.0031827889382839204,0.001989911496639252,-8.234784854575992e-05,0.014554677253154359
